Indicator,Type
Carer : WASH : Hand-washing : Before feeding child,Proportion
Carer : WASH : Hand-washing : Before preparing food,Proportion
WASH : Public pipe network in house,Proportion
WASH : Public pipe network in yard,Proportion
WASH : Public water pipe,Proportion
WASH : Protected ground water,Proportion
WASH : Protected well,Proportion
WASH : Filtered surface water,Proportion
WASH : Water transferred by car from improved sources,Proportion
WASH : Public pipe network in house within 30 minutes,Proportion
WASH : Public pipe network in yard within 30 minutes,Proportion
WASH : Public water pipe within 30 minutes,Proportion
WASH : Protected ground water within 30 minutes,Proportion
WASH : Protected well within 30 minutes,Proportion
WASH : Filtered surface water within 30 minutes,Proportion
WASH : Water transferred by car from improved sources within 30 minutes,Proportion
WASH : Uses improved drinking water sources,Proportion
WASH : Improved drinking water source within 30 minutes,Proportion
WASH : Uses improved drinking water sources,Proportion
WASH : Improved drinking water source within 30 minutes,Proportion
WASH : Uses improved toilet facilities,Proportion
WASH : Uses non-shared improved toilet facilities,Proportion
WASH : Open defecation,Proportion
WASH : Has basic hand-washing facilities,Proportion
